inputaddr,lng,lat,x,y,b,z,hc,lc,rc,bn
"서울특별시 영등포구 영신로20길 11",,,,,,,,,,
"서울특별시 성동구  사근동길 5",127.04179832652261,37.56030144501559,959532,1951315,,"04761","1120055000","1120010700","112004109297","1120010700100110007019512"
"서울특별시 성동구  광나루로2길 35 성수지구대",127.0552420102723,37.54822066496523,960713,1949969,,"04792","1120069000","1120011500","112004109030","1120011500102990240000001"
"서울특별시 성동구  성덕정길 77-2",127.05226883445954,37.538060194782396,960445,1948843,,"04775","1120067000","1120011500","112004109340","1120011500103440007006343"
"서울특별시 성동구  마장로 205",127.0326552818002,37.56666518663306,958728,1952025,,"04706","1120053500","1120010300","112003005009","1120010300101020001000001"
"서울특별시 성동구  행당로 89",127.02885214676334,37.557429267155484,958387,1951002,,"04713","1120057000","1120010700","112003103006","1120010700103171994027618"
"서울특별시 성동구  독서당로 211",127.01434618476992,37.54384121885572,957098,1949501,,"04733","1120064500","1120011300","112003005014","1120011300105610000000001"
"서울특별시 성동구  금호로11길 2-1",127.01961927163345,37.55474209383705,957570,1950708,,"04723","1120061500","1120011000","112004109041","1120011000102240000014132"
"서울특별시 성동구  독서당로 373 응봉파출소",127.03002094782903,37.54979948591769,958486,1950155,,"04720","1120058000","1120010800","112003005014","1120010800102750008016593"
"서울특별시 성동구  용답중앙길 49 용답파출소",127.05175792608009,37.56478333272147,960414,1951808,,"04804","1120079000","1120012200","112004109509","1120012200100830005000896"
"서울특별시 동작구  동작대로9길 35",126.97953550754796,37.48053496412739,953984,1942494,,"07015","1159062000","1159010700","115904157166","1159010700110280001034526"
"서울특별시 동작구  등용로12나길 2",126.93329343647608,37.511148582351474,949916,1945914,,"06932","1159066000","1159010800","115904157175","1159010800100680055004921"
"서울특별시 동작구  등용로 24 ",126.93620666946381,37.50593467066909,950170,1945334,,"06937","1159054000","1159010200","115903119001","1159010200103630189026990"
"서울특별시 동작구 사당로17나길 4",126.97325566223108,37.48412158514502,953431,1942895,,"07004","1159064000","1159010700","115904157247","1159010700102570025008272"
"서울특별시 동작구 노량진로 248",126.95364006775341,37.51239818326781,951715,1946042,,"06906","1159051000","1159010400","115903119011","1159010400101500001019261"
"서울특별시 동작구 신대방1다길 24",126.9059468614899,37.48664159468773,947482,1943210,,"07074","1159067000","1159010900","115904157489","1159010900107190002000001"
"서울특별시 동작구 여의대방로 130",126.92057076442109,37.4985670501149,948783,1944525,,"07055","1159066000","1159010800","115903118028","1159010800104170004005452"
"서울특별시 광진구 아차산로 567",127.10331831360364,37.54445304710204,964958,1949532,,"04983","1121581000","1121510400","112153000002","1121510400102310001010520"
"서울특별시 광진구  능동로17길 39 화양지구대",127.07131568580819,37.546540503735365,962132,1949776,,"05010","1121571000","1121510700","112154112127","1121510700101220000017845"
"서울특별시 광진구 능동로 385",127.0827894274198,37.56371630331101,963154,1951677,,"04909","1121574000","1121510100","112153104007","1121510100101650006000001"
"서울특별시 광진구  능동로 346",127.08147325214398,37.560151308532234,963036,1951282,,"04927","1121575000","1121510100","112153104007","1121510100100470033000543"
"서울특별시 광진구 동일로76가길 28",127.08013390192002,37.56880853171184,962922,1952243,,"04905","1121576000","1121510100","112154112232","1121510100106840000005511"
"서울특별시 광진구  용마산로24길 7",127.08726431294578,37.56535446335812,963550,1951857,,"04940","1121577000","1121510100","112154112386","1121510100100180144000087"
"서울특별시 광진구 뚝섬로36길 9",127.0716146523162,37.53385953840322,962152,1948369,,"05091","1121584000","1121510500","112154112260","1121510500105530632012151"
"서울특별시 광진구  자양번영로 80",127.07691876836456,37.536618778828654,962622,1948673,,"05053","1121582000","1121510500","112153104011","1121510500107990002014738"
